CustomerID,recency,purchase_cnt,item_cnt,user_total,user_average,avg_purchase_interval_days,average_interval,cancel_count,transaction_count,cancel_rate_new,average_interval_new,txn_total,txn_cancel,total_transactions,cancel_frequency,cancel_rate
15668,217,1,72,76.320000000000007,76.3,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
18133,212,1,1350,931.49999999999989,931.5,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
13017,7,1,48,204.0,204.0,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
17948,147,1,144,358.56000000000006,358.6,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
16454,64,1,2,5.9,5.9,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
15524,24,1,4,440.0,440.0,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
16953,30,1,10,20.8,20.8,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
14351,164,1,12,51.0,51.0,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
14424,17,1,48,322.08,322.1,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
15389,172,1,400,500.0,500.0,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
15562,351,1,39,134.55,134.6,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
17291,308,1,72,550.80000000000007,550.8,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
15070,372,1,36,106.2,106.2,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
17956,249,1,1,12.75,12.8,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
15753,304,1,144,79.2,79.2,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
13302,155,1,5,63.75,63.8,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
16737,53,1,288,417.59999999999997,417.6,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
13366,50,1,144,56.160000000000004,56.2,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
13747,373,1,8,79.6,79.6,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
13185,267,1,12,71.4,71.4,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
16990,218,1,100,179.0,179.0,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
17925,372,1,72,244.08,244.1,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
16765,294,1,4,34.0,34.0,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
16323,196,1,50,207.50000000000003,207.5,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
18184,15,1,60,49.8,49.8,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
18174,7,1,50,104.0,104.0,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
13703,318,1,10,99.5,99.5,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
13307,120,1,4,15.0,15.0,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
13270,366,1,200,590.0,590.0,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
17923,282,1,50,207.50000000000003,207.5,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
13099,99,1,288,207.35999999999999,207.4,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
12814,101,1,48,85.92,85.9,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
16738,297,1,3,3.75,3.8,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
17715,200,1,384,326.4,326.4,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
17347,86,1,216,228.96,229.0,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
14705,198,1,100,179.0,179.0,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
12603,21,1,56,613.19999999999993,613.2,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
17102,261,1,2,25.5,25.5,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
18068,289,1,6,101.69999999999999,101.7,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
13841,252,1,100,85.0,85.0,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
15657,22,1,24,30.0,30.0,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
18233,325,1,4,440.0,440.0,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
15940,311,1,4,35.8,35.8,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
16093,106,1,20,17.0,17.0,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
15510,330,1,2,250.0,250.0,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
17752,359,1,192,80.64,80.6,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
17443,219,1,504,534.24,534.2,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
15118,134,1,1440,244.8,244.8,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
12791,373,1,96,177.60000000000002,177.6,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
17331,123,1,16,175.2,175.2,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
13120,238,1,12,30.599999999999998,30.6,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
16148,296,1,72,76.320000000000007,76.3,0.0,0.0,0,1,0.0,0.0,1,0,1,0,0.0
